# Opcode function names for src/cpu/cpu_instr.c (Ronny, 21-SEP-2026).
# Format: opcode_<mnemonic>_<what it does>. The mnemonic keeps the function
# greppable against the ND-100 manual; the rest says what it does without
# needing the manual. Meanings are taken from docs/cpu_documentation.md.
# old	new
ndfunc_aaa	opcode_aaa_add_argument_to_a
ndfunc_aab	opcode_aab_add_argument_to_b
ndfunc_aat	opcode_aat_add_argument_to_t
ndfunc_aax	opcode_aax_add_argument_to_x
ndfunc_mon	opcode_mon_monitor_call
ndfunc_saa	opcode_saa_set_argument_to_a
ndfunc_sab	opcode_sab_set_argument_to_b
ndfunc_sat	opcode_sat_set_argument_to_t
ndfunc_sax	opcode_sax_set_argument_to_x
ndfunc_shifts	opcode_shift_group
ndfunc_nlz	opcode_nlz_normalize_floating_accumulator
ndfunc_dnz	opcode_dnz_denormalize_to_fixed_point
ndfunc_srb	opcode_srb_store_register_block
ndfunc_lrb	opcode_lrb_load_register_block
ndfunc_jap	opcode_jap_jump_if_a_positive
ndfunc_jan	opcode_jan_jump_if_a_negative
ndfunc_jaz	opcode_jaz_jump_if_a_zero
ndfunc_jaf	opcode_jaf_jump_if_a_not_zero
ndfunc_jpc	opcode_jpc_increment_x_and_jump_if_x_positive
ndfunc_jnc	opcode_jnc_increment_x_and_jump_if_x_negative
ndfunc_jxn	opcode_jxn_jump_if_x_negative
ndfunc_jxz	opcode_jxz_jump_if_x_zero
ndfunc_jpl	opcode_jpl_jump_if_last_result_positive
ndfunc_skp	opcode_skp_skip_next_if_condition
ndfunc_bfill	opcode_bfill_byte_fill
ndfunc_stz	opcode_stz_store_zero
ndfunc_sta	opcode_sta_store_a_register
ndfunc_stt	opcode_stt_store_t_register
ndfunc_stx	opcode_stx_store_x_register
ndfunc_std	opcode_std_store_double_word
ndfunc_stf	opcode_stf_store_floating_accumulator
ndfunc_lda	opcode_lda_load_a_register
ndfunc_ldt	opcode_ldt_load_t_register
ndfunc_ldx	opcode_ldx_load_x_register
ndfunc_ldd	opcode_ldd_load_double_word
ndfunc_ldf	opcode_ldf_load_floating_accumulator
ndfunc_stztx	opcode_stztx_store_zero_t_x_relative
ndfunc_statx	opcode_statx_store_a_register_t_x_relative
ndfunc_stdtx	opcode_stdtx_store_double_word_t_x_relative
ndfunc_ldatx	opcode_ldatx_load_a_register_t_x_relative
ndfunc_ldxtx	opcode_ldxtx_load_x_register_t_x_relative
ndfunc_lddtx	opcode_lddtx_load_double_word_t_x_relative
ndfunc_ldbtx	opcode_ldbtx_load_b_register_t_x_relative
ndfunc_min	opcode_min_memory_increment_and_skip_if_zero
ndfunc_add	opcode_add_add_to_a_register
ndfunc_sub	opcode_sub_subtract_from_a_register
ndfunc_and	opcode_and_logical_and_to_a_register
ndfunc_ora	opcode_ora_logical_or_to_a_register
ndfunc_fad	opcode_fad_add_to_floating_accumulator
ndfunc_fsb	opcode_fsb_subtract_from_floating_accumulator
ndfunc_fmu	opcode_fmu_multiply_floating_accumulator
ndfunc_fdv	opcode_fdv_divide_floating_accumulator
ndfunc_jmp	opcode_jmp_jump_unconditional
ndfunc_geco	opcode_geco_customer_specified_instruction
ndfunc_iot	opcode_iot_nord_1_legacy_do_not_use
ndfunc_iox	opcode_iox_exchange_with_io_system
ndfunc_ioxt	opcode_ioxt_exchange_with_io_system_t_addressed
ndfunc_ident	opcode_ident_identify_interrupting_device
ndfunc_opcom	opcode_opcom_operator_communication
ndfunc_irw	opcode_irw_inter_register_write
ndfunc_irr	opcode_irr_inter_register_read
ndfunc_exam	opcode_exam_examine_memory
ndfunc_depo	opcode_depo_deposit_memory
ndfunc_pof	opcode_pof_paging_off
ndfunc_piof	opcode_piof_paging_and_interrupt_off
ndfunc_pon	opcode_pon_paging_on
ndfunc_pion	opcode_pion_paging_and_interrupt_on
ndfunc_iof	opcode_iof_interrupt_off
ndfunc_ion	opcode_ion_interrupt_on
ndfunc_rex	opcode_rex_reset_extended_address_mode
ndfunc_sex	opcode_sex_set_extended_address_mode
ndfunc_setpt	opcode_setpt_set_page_tables
ndfunc_clept	opcode_clept_clear_page_tables
ndfunc_clnreent	opcode_clnreent_clear_non_reentrant_pages
ndfunc_chreent_pages	opcode_chreent_pages
ndfunc_clepu	opcode_clepu_clear_page_tables_and_collect_page_used
ndfunc_wglob	opcode_wglob_initialize_global_pointers
ndfunc_rglob	opcode_rglob_examine_global_pointers
ndfunc_inspl	opcode_inspl_insert_page_in_page_list
ndfunc_rempl	opcode_rempl_remove_page_from_page_list
