group	opcode	function
Argument and register set	143200	opcode_mix3_multiply_index_by_three
Argument and register set	170000	opcode_sab_set_argument_to_b
Argument and register set	170400	opcode_saa_set_argument_to_a
Argument and register set	171000	opcode_sat_set_argument_to_t
Argument and register set	171400	opcode_sax_set_argument_to_x
Argument and register set	172000	opcode_aab_add_argument_to_b
Argument and register set	172400	opcode_aaa_add_argument_to_a
Argument and register set	173000	opcode_aat_add_argument_to_t
Argument and register set	173400	opcode_aax_add_argument_to_x
Memory transfer - load	020000	opcode_std_store_double_word
Memory transfer - load	024000	opcode_ldd_load_double_word
Memory transfer - load	044000	opcode_lda_load_a_register
Memory transfer - load	050000	opcode_ldt_load_t_register
Memory transfer - load	054000	opcode_ldx_load_x_register
Memory transfer - store	000000	opcode_stz_store_zero
Memory transfer - store	004000	opcode_sta_store_a_register
Memory transfer - store	010000	opcode_stt_store_t_register
Memory transfer - store	014000	opcode_stx_store_x_register
Memory transfer - store	040000	opcode_min_memory_increment_and_skip_if_zero
Memory transfer - general	143300	opcode_ldatx_load_a_register_t_x_relative
Memory transfer - general	143301	opcode_ldxtx_load_x_register_t_x_relative
Memory transfer - general	143302	opcode_lddtx_load_double_word_t_x_relative
Memory transfer - general	143303	opcode_ldbtx_load_b_register_t_x_relative
Memory transfer - general	143304	opcode_statx_store_a_register_t_x_relative
Memory transfer - general	143305	opcode_stztx_store_zero_t_x_relative
Memory transfer - general	143306	opcode_stdtx_store_double_word_t_x_relative
Arithmetic and logical	060000	opcode_add_add_to_a_register
Arithmetic and logical	064000	opcode_sub_subtract_from_a_register
Arithmetic and logical	070000	opcode_and_logical_and_to_a_register
Arithmetic and logical	074000	opcode_ora_logical_or_to_a_register
Floating point	030000	opcode_stf_store_floating_accumulator
Floating point	034000	opcode_ldf_load_floating_accumulator
Floating point	100000	opcode_fad_add_to_floating_accumulator
Floating point	104000	opcode_fsb_subtract_from_floating_accumulator
Floating point	110000	opcode_fmu_multiply_floating_accumulator
Floating point	114000	opcode_fdv_divide_floating_accumulator
Floating point	151400	opcode_nlz_normalize_floating_accumulator
Floating point	152000	opcode_dnz_denormalize_to_fixed_point
Decimal	140120	opcode_addd_add_two_decimal_operands
Decimal	140121	opcode_subd_subtract_two_decimal_operands
Decimal	140122	opcode_comd_compare_two_decimal_operands
Decimal	140124	opcode_pack_convert_to_decimal
Decimal	140126	opcode_shde_decimal_shift
Decimal	-	opcode_unpack_convert_from_decimal
Byte and word block	140130	opcode_bfill_byte_fill
Byte and word block	140131	opcode_movb_move_byte
Byte and word block	140132	opcode_movbf_move_bytes_forward
Byte and word block	142200	opcode_lbyt_load_byte_to_a_register
