module	kind	file	old	new
src/machine	global variable	src/machine/machine_config.c	_mc_unused_iox	mc_unused_iox
src/machine	local variable	src/machine/machine.c	bootAddress	boot_address
src/machine	local variable	src/machine/machine_config.c	curCtrl	cur_ctrl
src/machine	local variable	src/machine/machine_config.c	curType	cur_type
src/machine	local variable	src/machine/machine_config.c	curWheel	cur_wheel
src/machine	local variable	src/machine/io.c	interruptBits	interrupt_bits
src/machine	local variable	src/machine/machine_config.c	periphName	periph_name
src/machine	local variable	src/machine/machine_config.c	typeName	type_name
src/machine	local variable	src/machine/machine_config.c	usedCount	used_count
src/machine	local variable	src/machine/machine_config.c	wheelStr	wheel_str
src/machine	parameter	src/machine/machine.c	blockAddress	block_address
src/machine	parameter	src/machine/machine.c	bootType	boot_type
src/machine	parameter	src/machine/machine.c	bootUnit	boot_unit
src/machine	parameter	src/machine/machine_config.h	cpuNumber	cpu_number
src/machine	parameter	src/machine/machine.c	debuggerEnabled	debugger_enabled
src/machine	parameter	src/machine/machine.c	debuggerPort	debugger_port
src/machine	parameter	src/machine/machine.c	deviceNum	device_num
src/machine	parameter	src/machine/machine.c	imageFile	image_file
src/machine	parameter	src/machine/machine.c	imageSize	image_size
src/machine	parameter	src/machine/machine.c	isServer	is_server
src/machine	parameter	src/machine/machine_config.h	outType	out_type
src/machine	parameter	src/machine/io.c	regA	reg_a
src/machine	static variable	src/machine/machine.c	_floppy_read_log	floppy_read_log
src/machine	typedef	src/machine/machine_config.h	MC_BootSpec	McBootSpec
src/machine	typedef	src/machine/machine_config.h	MC_Controller	McController
src/machine	typedef	src/machine/machine_config.h	MC_DiskSlot	McDiskSlot
src/machine	typedef	src/machine/machine_config.h	MC_Nd500	McNd500
src/ndlib	function	src/ndlib/download.c	WriteCallback	write_callback
src/ndlib	global variable	src/ndlib/telnetserver.c	menuMap	menu_map
src/ndlib	global variable	src/ndlib/telnetserver.c	menuMapCount	menu_map_count
src/ndlib	global variable	src/ndlib/printjob.c	pdfLineBuf	pdf_line_buf
src/ndlib	global variable	src/ndlib/printjob.c	pdfLineBufLen	pdf_line_buf_len
src/ndlib	local variable	src/ndlib/telnetserver.c	addrLen	addr_len
src/ndlib	local variable	src/ndlib/telnetserver.c	addrStr	addr_str
src/ndlib	local variable	src/ndlib/load_bpun.c	bpunStream	bpun_stream
src/ndlib	local variable	src/ndlib/pdfwriter.c	bufSize	buf_size
src/ndlib	local variable	src/ndlib/pdfwriter.c	charWidth	char_width
src/ndlib	local variable	src/ndlib/telnetserver.c	clientAddr	client_addr
src/ndlib	local variable	src/ndlib/telnetserver.c	clientFd	client_fd
src/ndlib	local variable	src/ndlib/telnetserver.c	connMsg	conn_msg
src/ndlib	local variable	src/ndlib/pdfwriter.c	contObj	cont_obj
src/ndlib	local variable	src/ndlib/pdfwriter.c	contentBufs	content_bufs
src/ndlib	local variable	src/ndlib/pdfwriter.c	contentLens	content_lens
src/ndlib	local variable	src/ndlib/pdfwriter.c	contentObjBase	content_obj_base
src/ndlib	local variable	src/ndlib/keyboard.c	copyLen	copy_len
src/ndlib	local variable	src/ndlib/load_bpun.c	currentLocationCounter	current_location_counter
src/ndlib	local variable	src/ndlib/load_bpun.c	dataCounter	data_counter
src/ndlib	local variable	src/ndlib/load_bpun.c	dataLoadAddress	data_load_address
src/ndlib	local variable	src/ndlib/escp.c	effectiveCpi	effective_cpi
src/ndlib	local variable	src/ndlib/load_prog.c	firstB1	first_b1
src/ndlib	local variable	src/ndlib/load_prog.c	firstB2	first_b2
src/ndlib	local variable	src/ndlib/load_bpun.c	floWords	flo_words
src/ndlib	local variable	src/ndlib/telnetserver.c	iacState	iac_state
src/ndlib	local variable	src/ndlib/telnetserver.c	inputBuf	input_buf
src/ndlib	local variable	src/ndlib/load_prog.c	lastB1	last_b1
src/ndlib	local variable	src/ndlib/load_prog.c	lastB2	last_b2
src/ndlib	local variable	src/ndlib/load_bpun.c	lastValue	last_value
src/ndlib	local variable	src/ndlib/printjob.c	lineH	line_h
src/ndlib	local variable	src/ndlib/escp.c	lineHeight	line_height
src/ndlib	local variable	src/ndlib/pdfwriter.c	lineWidth	line_width
src/ndlib	local variable	src/ndlib/pdfwriter.c	lineY	line_y
src/ndlib	local variable	src/ndlib/load_bpun.c	loadAddress	load_address
src/ndlib	local variable	src/ndlib/load_bpun.c	loadOK	load_ok
src/ndlib	local variable	src/ndlib/load_bpun.c	loadState	load_state
src/ndlib	local variable	src/ndlib/printjob.c	maxPage	max_page
src/ndlib	local variable	src/ndlib/pdfwriter.c	newCap	new_cap
src/ndlib	local variable	src/ndlib/pdfwriter.c	numPages	num_pages
src/ndlib	local variable	src/ndlib/pdfwriter.c	objNum	obj_num
src/ndlib	local variable	src/ndlib/pdfwriter.c	pageObj	page_obj
src/ndlib	local variable	src/ndlib/printjob.c	spanCount	span_count
src/ndlib	local variable	src/ndlib/telnetserver.c	termIdx	term_idx
src/ndlib	local variable	src/ndlib/pdfwriter.c	textLen	text_len
src/ndlib	local variable	src/ndlib/load_bpun.c	tmpString	tmp_string
src/ndlib	local variable	src/ndlib/load_bpun.c	tmpStringPos	tmp_string_pos
src/ndlib	local variable	src/ndlib/pdfwriter.c	totalObjects	total_objects
src/ndlib	local variable	src/ndlib/pdfwriter.c	xrefOffset	xref_offset
src/ndlib	parameter	src/ndlib/telnetserver.h	addrBuf	addr_buf
src/ndlib	parameter	src/ndlib/telnetserver.h	addrBufLen	addr_buf_len
src/ndlib	parameter	src/ndlib/telnetserver.h	addrLen	addr_len
src/ndlib	parameter	src/ndlib/telnetserver.h	ageSecs	age_secs
src/ndlib	parameter	src/ndlib/load_bpun.c	bpunStream	bpun_stream
src/ndlib	parameter	src/ndlib/printjob.c	bufSize	buf_size
src/ndlib	parameter	src/ndlib/telnetserver.h	bytesRx	bytes_rx
src/ndlib	parameter	src/ndlib/telnetserver.h	bytesTx	bytes_tx
src/ndlib	parameter	src/ndlib/telnetserver.h	clientAddr	client_addr
src/ndlib	parameter	src/ndlib/telnetserver.c	clientFd	client_fd
src/ndlib	parameter	src/ndlib/pdfwriter.h	fontSize	font_size
src/ndlib	parameter	src/ndlib/telnetserver.h	identCode	ident_code
src/ndlib	parameter	src/ndlib/telnetserver.h	locallyActive	locally_active
src/ndlib	parameter	src/ndlib/pdfwriter.c	outLen	out_len
src/ndlib	parameter	src/ndlib/printjob.h	outputDir	output_dir
src/ndlib	parameter	src/ndlib/pdfwriter.h	pageIndex	page_index
src/ndlib	parameter	src/ndlib/ndlib_types.h	physicalAddress	physical_address
src/ndlib	parameter	src/ndlib/printjob.h	printerType	printer_type
src/ndlib	static variable	src/ndlib/pdfwriter.c	fontNames	font_names
src/ndlib	enum constant	src/ndlib/ndlib_types.h	LoadState_Action	LOAD_STATE_ACTION
src/ndlib	enum constant	src/ndlib/ndlib_types.h	LoadState_Address	LOAD_STATE_ADDRESS
src/ndlib	enum constant	src/ndlib/ndlib_types.h	LoadState_Checksum	LOAD_STATE_CHECKSUM
src/ndlib	enum constant	src/ndlib/ndlib_types.h	LoadState_Count	LOAD_STATE_COUNT
src/ndlib	enum constant	src/ndlib/ndlib_types.h	LoadState_Data	LOAD_STATE_DATA
src/ndlib	enum constant	src/ndlib/ndlib_types.h	LoadState_FloMonCount	LOAD_STATE_FLO_MON_COUNT
src/ndlib	enum constant	src/ndlib/ndlib_types.h	LoadState_FloMonLoad	LOAD_STATE_FLO_MON_LOAD
src/ndlib	enum constant	src/ndlib/ndlib_types.h	LoadState_Preamble	LOAD_STATE_PREAMBLE
src/ndlib	typedef	src/ndlib/net_compat.h	nd_ssize_t	NdSsizeT
src/frontend/nd100x	function	src/frontend/nd100x/nd100x.c	LogScreenHandler	log_screen_handler
src/frontend/nd100x	function	src/frontend/nd100x/nd100x.c	PaperTapeWriterOutputHandler	paper_tape_writer_output_handler
src/frontend/nd100x	function	src/frontend/nd100x/nd100x.c	PrinterOutputHandler	printer_output_handler
src/frontend/nd100x	function	src/frontend/nd100x/nd100x.c	VScreenOutputHandler	v_screen_output_handler
src/frontend/nd100x	function	src/frontend/nd100x/nd100x.c	findScreenForDevice	find_screen_for_device
src/frontend/nd100x	function	src/frontend/nd100x/config.c	parseBootSpec	parse_boot_spec
src/frontend/nd100x	function	src/frontend/nd100x/config.c	parseHDLCConfig	parse_hdlc_config
src/frontend/nd100x	function	src/frontend/nd100x/config.c	parseWatchConfig	parse_watch_config
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	activeScreen	active_screen
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	g_machineConfig	machine_config
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	g_useMachineConfig	use_machine_config
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	logScreenIndex	log_screen_index
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	logScreenMutex	log_screen_mutex
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	menuState	menu_state
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	printJob	print_job
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	screenCount	screen_count
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	tapeWriterActive	tape_writer_active
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	tapeWriterJobNumber	tape_writer_job_number
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	tapeWriterLastOutputTime	tape_writer_last_output_time
src/frontend/nd100x	global variable	src/frontend/nd100x/nd100x.c	telnetServer	telnet_server
src/frontend/nd100x	local variable	src/frontend/nd100x/screenmenu.c	addrStr	addr_str
src/frontend/nd100x	local variable	src/frontend/nd100x/nd100x.c	altScreen	alt_screen
