commit	date	rules	kind	file	line	old	new	count
f236f30	2026-09-20	3.4	static variable	src/devices/rtc/device_rtc.c	51	rtcWallClockMode	rtc_wall_clock_mode	3
ec4b8ec	2026-09-20	3.2	static function	src/devices/rtc/device_rtc.c	94	RTC_ClearClockTicks	rtc_clear_clock_ticks	6
ec4b8ec	2026-09-20	3.2	static function	src/devices/rtc/device_rtc.c	280	RTC_Ident	rtc_ident	2
ec4b8ec	2026-09-20	3.2	static function	src/devices/rtc/device_rtc.c	183	RTC_Read	rtc_read	2
ec4b8ec	2026-09-20	3.2	static function	src/devices/rtc/device_rtc.c	76	RTC_Reset	rtc_reset	2
ec4b8ec	2026-09-20	3.2	static function	src/devices/rtc/device_rtc.c	46	RTC_Tick	rtc_tick	4
ec4b8ec	2026-09-20	3.2	static function	src/devices/rtc/device_rtc.c	218	RTC_Write	rtc_write	2
ec4b8ec	2026-09-20	3.2	comment reference	tests/test_rtc.c	12	RTC_Tick	rtc_tick	3
6d00d41	2026-09-20	3.2	static function	src/devices/lineprinter/device_line_printer.c	168	LinePrinter_Ident	line_printer_ident	2
6d00d41	2026-09-20	3.2	static function	src/devices/lineprinter/device_line_printer.c	68	LinePrinter_Read	line_printer_read	2
6d00d41	2026-09-20	3.2	static function	src/devices/lineprinter/device_line_printer.c	43	LinePrinter_Reset	line_printer_reset	2
6d00d41	2026-09-20	3.2	static function	src/devices/lineprinter/device_line_printer.c	59	LinePrinter_Tick	line_printer_tick	2
6d00d41	2026-09-20	3.2	static function	src/devices/lineprinter/device_line_printer.c	96	LinePrinter_Write	line_printer_write	2
69c4e62	2026-09-20	3.2,3.4	static function	src/devices/papertape/device_paper_tape.c	208	PaperTape_Destroy	paper_tape_destroy	2
69c4e62	2026-09-20	3.2,3.4	static function	src/devices/papertape/device_paper_tape.c	191	PaperTape_Ident	paper_tape_ident	2
69c4e62	2026-09-20	3.2,3.4	static function	src/devices/papertape/device_paper_tape.c	69	PaperTape_Read	paper_tape_read	2
69c4e62	2026-09-20	3.2,3.4	static function	src/devices/papertape/device_paper_tape.c	43	PaperTape_Reset	paper_tape_reset	2
69c4e62	2026-09-20	3.2,3.4	static function	src/devices/papertape/device_paper_tape.c	59	PaperTape_Tick	paper_tape_tick	2
69c4e62	2026-09-20	3.2,3.4	static function	src/devices/papertape/device_paper_tape.c	97	PaperTape_Write	paper_tape_write	2
69c4e62	2026-09-20	3.2,3.4	local variable	src/devices/papertape/device_paper_tape.c	230	ptData	pt_data	11
69c4e62	2026-09-20	3.2,3.4	comment reference	src/devices/winchester/device_winchester.c	699	PaperTape_Ident	paper_tape_ident	1
ca999eb	2026-09-20	3.2,3.4	comment reference	src/cpu/cpu_instr.c	4611	Terminal_Ident	terminal_ident	1
ca999eb	2026-09-20	3.2,3.4	static function	src/devices/terminal/device_terminal.c	388	Terminal_Ident	terminal_ident	2
ca999eb	2026-09-20	3.2,3.4	static function	src/devices/terminal/device_terminal.c	465	Terminal_InputFunction	terminal_input_function	2
ca999eb	2026-09-20	3.2,3.4	static function	src/devices/terminal/device_terminal.c	210	Terminal_Read	terminal_read	2
ca999eb	2026-09-20	3.2,3.4	static function	src/devices/terminal/device_terminal.c	114	Terminal_Reset	terminal_reset	2
ca999eb	2026-09-20	3.2,3.4	static function	src/devices/terminal/device_terminal.c	134	Terminal_Tick	terminal_tick	2
ca999eb	2026-09-20	3.2,3.4	static function	src/devices/terminal/device_terminal.c	297	Terminal_Write	terminal_write	2
ca999eb	2026-09-20	3.2,3.4	static function	src/devices/terminal/device_terminal.c	110	WriteEnd	write_end	4
ca999eb	2026-09-20	3.2,3.4	static variable	src/devices/terminal/device_terminal.c	39	deviceDefinitions	device_definitions	3
ca999eb	2026-09-20	3.2,3.4	static variable	src/devices/terminal/device_terminal.c	108	numDeviceDefinitions	num_device_definitions	2
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.c	81	ClearAndRotate	CLEAR_AND_ROTATE	1
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.c	74	ClearTextBuffer	CLEAR_TEXT_BUFFER	1
ca84ded	2026-09-20	3.6,3.7	parameter	src/devices/panel/panel.c	61	PANC_Register	PancRegister	2
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.c	105	PANS_Register	PansRegister	1
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.c	71	ReturnDisplayToNormal	RETURN_DISPLAY_TO_NORMAL	1
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.c	78	RotateMessage	ROTATE_MESSAGE	1
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.c	68	StopRotatingMessage	STOP_ROTATING_MESSAGE	1
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.c	43	display_panel	DisplayPanel	2
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.h	69	ClearAndRotate	CLEAR_AND_ROTATE	1
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.h	59	ClearTextBuffer	CLEAR_TEXT_BUFFER	1
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.h	150	PANC_Register	PancRegister	1
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.h	43	PANEL_STATUS_FUNCTIONS	PanelStatusFunctions	5
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.h	125	PANS_Register	PansRegister	2
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.h	54	ReturnDisplayToNormal	RETURN_DISPLAY_TO_NORMAL	1
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.h	64	RotateMessage	ROTATE_MESSAGE	1
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.h	49	StopRotatingMessage	STOP_ROTATING_MESSAGE	1
ca84ded	2026-09-20	3.6,3.7	local variable	src/devices/panel/panel.h	152	display_panel	DisplayPanel	1
2970514	2026-09-20	3.2,3.4	static function	src/devices/papertapewriter/device_paper_tape_writer.c	256	PaperTapeWriter_Destroy	paper_tape_writer_destroy	2
2970514	2026-09-20	3.2,3.4	static function	src/devices/papertapewriter/device_paper_tape_writer.c	101	PaperTapeWriter_GrowBuffer	paper_tape_writer_grow_buffer	2
2970514	2026-09-20	3.2,3.4	static function	src/devices/papertapewriter/device_paper_tape_writer.c	220	PaperTapeWriter_Ident	paper_tape_writer_ident	2
2970514	2026-09-20	3.2,3.4	static function	src/devices/papertapewriter/device_paper_tape_writer.c	69	PaperTapeWriter_Read	paper_tape_writer_read	2
2970514	2026-09-20	3.2,3.4	static function	src/devices/papertapewriter/device_paper_tape_writer.c	45	PaperTapeWriter_Reset	paper_tape_writer_reset	2
2970514	2026-09-20	3.2,3.4	static function	src/devices/papertapewriter/device_paper_tape_writer.c	59	PaperTapeWriter_Tick	paper_tape_writer_tick	2
2970514	2026-09-20	3.2,3.4	static function	src/devices/papertapewriter/device_paper_tape_writer.c	131	PaperTapeWriter_Write	paper_tape_writer_write	2
2970514	2026-09-20	3.2,3.4	static function	src/devices/papertapewriter/device_paper_tape_writer.c	43	PunchEnd	punch_end	3
2970514	2026-09-20	3.2,3.4	local variable	src/devices/papertapewriter/device_paper_tape_writer.c	118	newBuffer	new_buffer	3
2970514	2026-09-20	3.2,3.4	local variable	src/devices/papertapewriter/device_paper_tape_writer.c	117	newCapacity	new_capacity	4
e868ac8	2026-09-20	3.2,3.4	static function	src/devices/drum/device_drum.c	57	Drum_AttachBacking	drum_attach_backing	2
e868ac8	2026-09-20	3.2,3.4	static function	src/devices/drum/device_drum.c	33	Drum_Destroy	drum_destroy	5
e868ac8	2026-09-20	3.2,3.4	static function	src/devices/drum/device_drum.c	35	Drum_End	drum_end	4
e868ac8	2026-09-20	3.2,3.4	static function	src/devices/drum/device_drum.c	34	Drum_ExecuteGO	drum_execute_go	3
e868ac8	2026-09-20	3.2,3.4	static function	src/devices/drum/device_drum.c	32	Drum_Ident	drum_ident	3
e868ac8	2026-09-20	3.2,3.4	static function	src/devices/drum/device_drum.c	29	Drum_Read	drum_read	3
e868ac8	2026-09-20	3.2,3.4	static function	src/devices/drum/device_drum.c	28	Drum_Reset	drum_reset	4
e868ac8	2026-09-20	3.2,3.4	static function	src/devices/drum/device_drum.c	31	Drum_Tick	drum_tick	3
e868ac8	2026-09-20	3.2,3.4	static function	src/devices/drum/device_drum.c	30	Drum_Write	drum_write	3
e868ac8	2026-09-20	3.2,3.4	static variable	src/devices/drum/device_drum.c	38	g_drumBackingPath	drum_backing_path	5
e868ac8	2026-09-20	3.2,3.4	static variable	src/devices/drum/device_drum.c	39	g_drumHasBackingPath	drum_has_backing_path	4
e868ac8	2026-09-20	3.2,3.4	local variable	src/devices/drum/device_drum.c	170	wordOffset	word_offset	10
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	115	Cdc_AttachBacking	cdc_attach_backing	2
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	576	Cdc_Boot	cdc_boot	2
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	42	Cdc_Destroy	cdc_destroy	5
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	44	Cdc_End	cdc_end	5
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	92	Cdc_EnsureSurface	cdc_ensure_surface	2
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	43	Cdc_ExecuteGO	cdc_execute_go	4
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	41	Cdc_Ident	cdc_ident	3
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	642	Cdc_IotOp	cdc_iot_op	2
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	38	Cdc_Read	cdc_read	7
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	37	Cdc_Reset	cdc_reset	5
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	40	Cdc_Tick	cdc_tick	3
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	39	Cdc_Write	cdc_write	7
8bab358	2026-09-20	3.2,3.4	local variable	src/devices/cdc/device_cdc.c	590	allZero	all_zero	3
8bab358	2026-09-20	3.2,3.4	local variable	src/devices/cdc/device_cdc.c	136	fileBytes	file_bytes	4
8bab358	2026-09-20	3.2,3.4	local variable	src/devices/cdc/device_cdc.c	145	fileSectors	file_sectors	2
8bab358	2026-09-20	3.2,3.4	static variable	src/devices/cdc/device_cdc.c	47	g_cdcBackingPath	cdc_backing_path	5
8bab358	2026-09-20	3.2,3.4	static variable	src/devices/cdc/device_cdc.c	48	g_cdcHasBackingPath	cdc_has_backing_path	4
8bab358	2026-09-20	3.2,3.4	local variable	src/devices/cdc/device_cdc.c	98	newWords	new_words	4
8bab358	2026-09-20	3.2,3.4	parameter	src/devices/cdc/device_cdc.c	642	regA	reg_a	8
8bab358	2026-09-20	3.2,3.4	local variable	src/devices/cdc/device_cdc.c	306	wordOff	word_off	11
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	20	Cdc_AttachBacking	cdc_attach_backing	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	20	Cdc_Destroy	cdc_destroy	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	19	Cdc_End	cdc_end	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	21	Cdc_EnsureSurface	cdc_ensure_surface	2
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	18	Cdc_ExecuteGO	cdc_execute_go	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	20	Cdc_Ident	cdc_ident	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	17	Cdc_Read	cdc_read	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	17	Cdc_Reset	cdc_reset	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	19	Cdc_Tick	cdc_tick	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	18	Cdc_Write	cdc_write	1
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2103	PPN	ppn	5
b0845de	2026-09-20	3.4,3.5	parameter	src/debugger/debugger.c	2094	PTe	p_te	13
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	4225	byteCount	byte_count	8
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	4264	bytesRead	bytes_read	7
b0845de	2026-09-20	3.4,3.5	static variable	src/debugger/debugger.c	2097	debugInfo	debug_info	36
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2100	memoryRange	memory_range	4
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2280	pageTableEntry	page_table_entry	2
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2146	ppnStr	ppn_str	4
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	1689	rP	r_p	4
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	1690	rPCR	r_pcr	19
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	5100	runMode	run_mode	4
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2244	useAPT	use_apt	2
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2997	validSymbol	valid_symbol	8
b0845de	2026-09-20	3.4,3.5	parameter	src/debugger/debugger.c	4540	virtualAddress	virtual_address	11
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	61	WdTransferEnd	wd_transfer_end	6
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	63	WdUnitAttached	wd_unit_attached	5
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	761	Wd_Boot	wd_boot	2
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	155	Wd_ClearErrors	wd_clear_errors	3
