# Rule 3.1 proposal. Read before applying; nothing is renamed by
# this script. Prefixes come from docs/house-audit/prefixes.tsv.
file	line	prefix	old	new
src/cpu/cpu.c	240	cpu	do_op	cpu_do_op
src/cpu/cpu.c	286	cpu	New_GetEffectiveAddr	cpu_get_effective_addr
src/cpu/cpu.c	362	cpu	calcIIC	cpu_calc_iic
src/cpu/cpu.c	432	cpu	interrupt	cpu_interrupt
src/cpu/cpu.c	488	cpu	device_interrupt	cpu_device_interrupt
src/cpu/cpu.c	513	cpu	PhysMemWrite	cpu_phys_mem_write
src/cpu/cpu.c	522	cpu	PhysMemRead	cpu_phys_mem_read
src/cpu/cpu.c	564	cpu	MemoryWrite	cpu_memory_write
src/cpu/cpu.c	584	cpu	MemoryRead	cpu_memory_read
src/cpu/cpu.c	880	cpu	ring_dump	cpu_ring_dump
src/cpu/cpu.c	1197	cpu	init_cpu_debugger	cpu_init_debugger
src/cpu/cpu.c	1242	cpu	cleanup_cpu	cpu_cleanup
src/cpu/cpu.c	1258	cpu	set_debugger_request_pause	cpu_set_debugger_request_pause
src/cpu/cpu.c	1274	cpu	get_debugger_request_pause	cpu_get_debugger_request_pause
src/cpu/cpu.c	1295	cpu	set_debugger_control_granted	cpu_set_debugger_control_granted
src/cpu/cpu.c	1311	cpu	get_debugger_control_granted	cpu_get_debugger_control_granted
src/cpu/cpu.c	1331	cpu	set_cpu_stop_reason	cpu_set_stop_reason
src/cpu/cpu.c	1345	cpu	get_cpu_stop_reason	cpu_get_stop_reason
src/cpu/cpu.c	1364	cpu	set_cpu_run_mode	cpu_set_run_mode
src/cpu/cpu.c	1380	cpu	get_cpu_run_mode	cpu_get_run_mode
src/cpu/cpu_bkpt.c	72	bkpt	breakpoint_manager_init	bkpt_manager_init
src/cpu/cpu_bkpt.c	86	bkpt	breakpoint_manager_cleanup	bkpt_manager_cleanup
src/cpu/cpu_bkpt.c	98	bkpt	breakpoint_manager_step_one	bkpt_manager_step_one
src/cpu/cpu_bkpt.c	110	bkpt	breakpoint_manager_add	bkpt_manager_add
src/cpu/cpu_bkpt.c	154	bkpt	breakpoint_manager_remove	bkpt_manager_remove
src/cpu/cpu_bkpt.c	192	bkpt	breakpoint_manager_clear	bkpt_manager_clear
src/cpu/cpu_bkpt.c	214	bkpt	breakpoint_manager_clear_type	bkpt_manager_clear_type
src/cpu/cpu_bkpt.c	326	bkpt	check_for_breakpoint	bkpt_check_hit
src/cpu/cpu_bkpt.c	438	bkpt	breakpoint_manager_get_last_hit	bkpt_manager_get_last_hit
src/cpu/cpu_bkpt.c	501	bkpt	watchpoint_add	bkpt_watchpoint_add
src/cpu/cpu_bkpt.c	529	bkpt	watchpoint_remove	bkpt_watchpoint_remove
src/cpu/cpu_bkpt.c	549	bkpt	watchpoint_check_slow	bkpt_watchpoint_check_slow
src/cpu/cpu_bkpt.c	593	bkpt	watchpoint_check	bkpt_watchpoint_check
src/cpu/cpu_bkpt.c	599	bkpt	watchpoint_clear	bkpt_watchpoint_clear
src/cpu/cpu_bkpt.c	610	bkpt	watchpoint_get_count	bkpt_watchpoint_get_count
src/cpu/cpu_bkpt.c	616	bkpt	watchpoint_get	bkpt_watchpoint_get
src/cpu/cpu_bkpt.c	653	bkpt	phys_watchpoint_add	bkpt_phys_watchpoint_add
src/cpu/cpu_bkpt.c	680	bkpt	phys_watchpoint_remove	bkpt_phys_watchpoint_remove
src/cpu/cpu_bkpt.c	696	bkpt	phys_watchpoint_check	bkpt_phys_watchpoint_check
src/cpu/cpu_bkpt.c	731	bkpt	phys_watchpoint_clear	bkpt_phys_watchpoint_clear
src/cpu/cpu_bkpt.c	742	bkpt	phys_watchpoint_get_count	bkpt_phys_watchpoint_get_count
src/cpu/cpu_bkpt.c	748	bkpt	phys_watchpoint_get	bkpt_phys_watchpoint_get
src/cpu/cpu_disasm.c	72	disasm	OpToStr	disasm_op_to_str
src/cpu/cpu_disasm.c	967	disasm	extract_opcode	disasm_extract_opcode
src/cpu/cpu_instr.c	95	cpu	signExtend	cpu_sign_extend
src/cpu/cpu_instr.c	166	cpu	illegal_instr	cpu_illegal_instr
src/cpu/cpu_instr.c	2079	cpu	add_A_mem	cpu_add_a_mem
src/cpu/cpu_instr.c	6937	cpu	sub_A_mem	cpu_sub_a_mem
src/cpu/cpu_instr.c	6977	cpu	rdiv_org	cpu_rdiv_org
src/cpu/cpu_instr.c	7088	cpu	rmpy_org	cpu_rmpy_org
src/cpu/cpu_instr.c	7206	cpu	GetBCD	cpu_get_bcd
src/cpu/cpu_instr.c	7212	cpu	StoreBCD	cpu_store_bcd
src/cpu/cpu_instr.c	7274	cpu	Setup_Instructions	cpu_instructions
src/cpu/cpu_mms.c	46	mms	cpu_set_ring_at_pf	mms_cpu_set_ring_at_pf
src/cpu/cpu_mms.c	54	mms	CreatePagingTables	mms_create_paging_tables
src/cpu/cpu_mms.c	124	mms	DestroyPagingTables	mms_destroy_paging_tables
src/cpu/cpu_mms.c	134	mms	GetPTShadowAddress	mms_get_pt_shadow_address
src/cpu/cpu_mms.c	171	mms	PT_Write	mms_write
src/cpu/cpu_mms.c	217	mms	PT_Read	mms_read
src/cpu/cpu_mms.c	235	mms	GetPageTableEntry	mms_get_page_table_entry
src/cpu/cpu_mms.c	280	mms	GetPageTableEntryForDebugger	mms_get_page_table_entry_for_debugger
src/cpu/cpu_mms.c	319	mms	UpdatePageTableEntry	mms_update_page_table_entry
src/cpu/cpu_mms.c	346	mms	SetPageUsed	mms_set_page_used
src/cpu/cpu_mms.c	363	mms	SetPageWritten	mms_set_page_written
src/cpu/cpu_mms.c	391	mms	GetPageTableEntryDebugInfo	mms_get_page_table_entry_debug_info
src/cpu/cpu_mms.c	453	mms	mapVirtualToPhysical	mms_map_virtual_to_physical
src/cpu/cpu_mms.c	650	mms	UpdatePGS	mms_update_pgs
src/cpu/cpu_mms.c	708	mms	checkPageProtection	mms_check_page_protection
src/cpu/cpu_mms.c	794	mms	IsAddressShadowMemory	mms_is_address_shadow_memory
src/cpu/cpu_mms.c	847	mms	ReadVirtualMemory	mms_read_virtual_memory
src/cpu/cpu_mms.c	863	mms	ReadIndirectVirtualMemory	mms_read_indirect_virtual_memory
src/cpu/cpu_mms.c	874	mms	FetchVirtualMemory	mms_fetch_virtual_memory
src/cpu/cpu_mms.c	885	mms	WriteVirtualMemory	mms_write_virtual_memory
src/cpu/cpu_mms.c	909	mms	GetPhysicalMemoryType	mms_get_physical_memory_type
src/cpu/cpu_mms.c	1086	mms	ReadPhysicalMemory	mms_read_physical_memory
src/cpu/cpu_mms.c	1119	mms	WritePhysicalMemory	mms_write_physical_memory
src/cpu/cpu_mms.c	1126	mms	WritePhysicalMemoryWM	mms_write_physical_memory_wm
src/cpu/cpu_mms.c	1196	mms	HandleMemoryOutOfRange	mms_handle_memory_out_of_range
src/cpu/cpu_mms.c	1206	mms	HandleMPV	mms_handle_mpv
src/cpu/cpu_mms.c	1240	mms	HandlePF	mms_handle_pf
src/cpu/cpu_model.c	47	cpumodel	CpuModel_FromName	cpumodel_from_name
src/cpu/cpu_model.c	67	cpumodel	CpuModel_Name	cpumodel_name
src/cpu/cpu_model.c	83	cpumodel	CpuModel_DisplayName	cpumodel_display_name
src/cpu/cpu_model.c	114	cpumodel	CpuModel_Count	cpumodel_count
src/cpu/cpu_model.c	119	cpumodel	CpuModel_NameByIndex	cpumodel_name_by_index
src/cpu/cpu_regs.c	38	cpu	setPIL	cpu_set_pil
src/cpu/cpu_regs.c	57	cpu	setPEA	cpu_set_pea
src/cpu/cpu_regs.c	68	cpu	setPES	cpu_set_pes
src/cpu/cpu_regs.c	79	cpu	setPGS	cpu_set_pgs
src/cpu/cpu_regs.c	93	cpu	setreg	cpu_setreg
